data,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,districtecodi,districtedescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,:id
2020-08-21T00:00:00.000,40.0,VALLES OCCIDENTAL,8279.0,TERRASSA,,No classificat,0.0,Home,PCR probable,1,row-49iv-ebhg_efyw
2021-03-17T00:00:00.000,41.0,VALLES ORIENTAL,8124.0,MOLLET DEL VALLÈS,,No classificat,1.0,Dona,Positiu PCR,7,row-acrb-5639~q26c
2020-07-27T00:00:00.000,8.0,BAIX CAMP,43123.0,REUS,,No classificat,1.0,Dona,Positiu per Test Ràpid,1,row-crmv~m3r7.pdvp
2020-07-28T00:00:00.000,40.0,VALLES OCCIDENTAL,8180.0,RIPOLLET,,No classificat,1.0,Dona,Positiu per Test Ràpid,2,row-ww96~zbag~y248
2020-04-14T00:00:00.000,11.0,BAIX LLOBREGAT,8208.0,SANT ESTEVE SESROVIRES,,No classificat,1.0,Dona,Positiu per ELISA,1,row-r6pu_nntu-ijy2
2020-08-04T00:00:00.000,40.0,VALLES OCCIDENTAL,8156.0,PALAU-SOLITÀ I PLEGAMANS,,No classificat,1.0,Dona,Positiu per Test Ràpid,3,row-ch2k.cx7y.yby7
2020-08-03T00:00:00.000,11.0,BAIX LLOBREGAT,8217.0,SANT JOAN DESPÍ,,No classificat,0.0,Home,Positiu per Test Ràpid,2,row-2ubi.hqsd_pxjc
2020-09-03T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,6.0,GRÀCIA,0.0,Home,Positiu per Test Ràpid,1,row-iff8-nmyv_5gdh
2020-09-02T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,3.0,SANTS-MONTJUÏC,1.0,Dona,Positiu per Test Ràpid,2,row-gx75-kav6.7238
2020-07-24T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,8.0,NOU BARRIS,1.0,Dona,Positiu per Test Ràpid,2,row-k7fi~hx85.vvph
2020-07-22T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,9.0,SANT ANDREU,1.0,Dona,PCR probable,1,row-g8fk_ej7p.padt
